University Name,District,Cutoff,Entrance Percentage,Department,Output
 Birla Institute of Technology and Science,Pilani,150,60,Computer Science,Yes
 Birla Institute of Technology and Science,Pilani,198,76,Computer Science,Yes
 Birla Institute of Technology and Science,Pilani,170,98,Computer Science,Yes
 Birla Institute of Technology and Science,Pilani,132,52,Computer Science,No
 Birla Institute of Technology and Science,Pilani,106,36,Computer Science,No
 Birla Institute of Technology and Science,Pilani,68,15,Computer Science,No
 Birla Institute of Technology and Science,Pilani,46,4,Computer Science,No
 Birla Institute of Technology and Science,Pilani,150,60,Electricals and Electronics,Yes
 Birla Institute of Technology and Science,Pilani,158,86,Electricals and Electronics,Yes
 Birla Institute of Technology and Science,Pilani,144,16,Electricals and Electronics,No
 Birla Institute of Technology and Science,Pilani,138,56,Electricals and Electronics,No
 Birla Institute of Technology and Science,Pilani,102,46,Electricals and Electronics,No
 Birla Institute of Technology and Science,Pilani,48,36,Electricals and Electronics,No
 Birla Institute of Technology and Science,Pilani,150,60,Electronics and Communication,Yes
 Birla Institute of Technology and Science,Pilani,162,77,Electronics and Communication,Yes
 Birla Institute of Technology and Science,Pilani,42,17,Electronics and Communication,No
 Birla Institute of Technology and Science,Pilani,22,37,Electronics and Communication,No
 Birla Institute of Technology and Science,Pilani,62,27,Electronics and Communication,No
 Birla Institute of Technology and Science,Pilani,82,47,Electronics and Communication,No
 Birla Institute of Technology and Science,Pilani,150,60,Civil Engineering,Yes
 Birla Institute of Technology and Science,Pilani,172,78,Civil Engineering,Yes
 Birla Institute of Technology and Science,Pilani,192,88,Civil Engineering,Yes
 Birla Institute of Technology and Science,Pilani,32,18,Civil Engineering,No
 Birla Institute of Technology and Science,Pilani,72,38,Civil Engineering,No
 Birla Institute of Technology and Science,Pilani,150,60,Mechanical Engineering,Yes
 Birla Institute of Technology and Science,Pilani,172,76,Mechanical Engineering,Yes
 Birla Institute of Technology and Science,Pilani,192,86,Mechanical Engineering,Yes
 Birla Institute of Technology and Science,Pilani,32,16,Mechanical Engineering,No
 Birla Institute of Technology and Science,Pilani,92,46,Mechanical Engineering,No
 Birla Institute of Technology and Science,Pilani,72,36,Mechanical Engineering,No
 Maharaja Sayajirao University of Baroda,Vadodara,110,45,Computer Science,Yes
 Maharaja Sayajirao University of Baroda,Vadodara,124,52,Computer Science,Yes
 Maharaja Sayajirao University of Baroda,Vadodara,184,92,Computer Science,Yes
 Maharaja Sayajirao University of Baroda,Vadodara,98,12,Computer Science,No
 Maharaja Sayajirao University of Baroda,Vadodara,72,2,Computer Science,No
 Maharaja Sayajirao University of Baroda,Vadodara,54,32,Computer Science,No
 Maharaja Sayajirao University of Baroda,Vadodara,32,42,Computer Science,No
 Maharaja Sayajirao University of Baroda,Vadodara,110,45,Civil Engineering,Yes
 Maharaja Sayajirao University of Baroda,Vadodara,132,86,Civil Engineering,Yes
 Maharaja Sayajirao University of Baroda,Vadodara,192,96,Civil Engineering,Yes
 Maharaja Sayajirao University of Baroda,Vadodara,32,46,Civil Engineering,No
 Maharaja Sayajirao University of Baroda,Vadodara,92,36,Civil Engineering,No
 Maharaja Sayajirao University of Baroda,Vadodara,110,45,Mechanical Engineering,Yes
 Maharaja Sayajirao University of Baroda,Vadodara,134,85,Mechanical Engineering,Yes
 Maharaja Sayajirao University of Baroda,Vadodara,174,75,Mechanical Engineering,Yes
 Maharaja Sayajirao University of Baroda,Vadodara,36,15,Mechanical Engineering,No
 Maharaja Sayajirao University of Baroda,Vadodara,74,45,Mechanical Engineering,No
 Maharaja Sayajirao University of Baroda,Vadodara,94,35,Mechanical Engineering,No
Amity University,Jaipur,120,85,Information Technology,Yes
Amity University,Jaipur,158,88,Information Technology,Yes
Amity University,Jaipur,182,98,Information Technology,Yes
Amity University,Jaipur,104,18,Information Technology,No
Amity University,Jaipur,32,28,Information Technology,No
Amity University,Jaipur,120,85,Electricals and Electronics,Yes
Amity University,Jaipur,140,86,Electricals and Electronics,Yes
Amity University,Jaipur,160,96,Electricals and Electronics,Yes
Amity University,Jaipur,180,99,Electricals and Electronics,Yes
Amity University,Jaipur,80,16,Electricals and Electronics,No
Amity University,Jaipur,60,35,Electricals and Electronics,No
Amity University,Jaipur,120,85,Electricals and Electronics,Yes
Amity University,Jaipur,164,96,Electricals and Electronics,Yes
Amity University,Jaipur,144,87,Electricals and Electronics,Yes
Amity University,Jaipur,84,16,Electricals and Electronics,No
Amity University,Jaipur,44,36,Electricals and Electronics,No
Amity University,Jaipur,120,85,Electronics and Communication,Yes
Amity University,Jaipur,154,88,Electronics and Communication,Yes
Amity University,Jaipur,194,95,Electronics and Communication,Yes
Amity University,Jaipur,174,99,Electronics and Communication,Yes
Amity University,Jaipur,34,15,Electronics and Communication,No
Amity University,Jaipur,74,35,Electronics and Communication,No
Amity University,Jaipur,120,85,Civil Engineering,Yes
